,Voltage,Current (Mean),Current (Std)
0,-2.5,-1.150489E-09,+1.068235E-12
1,-2.45,-1.133541E-09,+5.709178E-12
2,-2.4,-1.118823E-09,+1.148522E-12
3,-2.35,-1.100573E-09,+9.964551E-13
4,-2.3,-1.080727E-09,+3.870411E-12
5,-2.25,-1.050081E-09,+5.966494E-12
6,-2.2,-1.016001E-09,+2.386722E-12
7,-2.15,-9.755567E-10,+1.132662E-12
8,-2.1,-9.386845E-10,+1.208117E-12
9,-2.05,-8.475991E-10,+8.296551E-13
10,-2,-6.876631E-10,+5.898204E-13
11,-1.95,-4.021393E-10,+2.469572E-13
12,-1.9,+9.073810E-11,+1.607753E-13
13,-1.85,+8.561976E-10,+5.665540E-13
14,-1.8,+1.923981E-09,+1.504083E-12
15,-1.75,+3.288987E-09,+3.732569E-12
16,-1.7,+4.868676E-09,+3.609752E-12
17,-1.65,+6.660997E-09,+5.744343E-12
18,-1.6,+8.583046E-09,+5.535606E-12
19,-1.55,+1.064088E-08,+6.248779E-12
20,-1.5,+1.291088E-08,+1.373494E-11
21,-1.45,+1.541251E-08,+1.016488E-11
22,-1.4,+1.813484E-08,+1.031280E-11
23,-1.35,+2.122193E-08,+2.815917E-11
24,-1.3,+2.456050E-08,+3.322216E-11
25,-1.25,+2.819213E-08,+2.860611E-11
26,-1.2,+3.229975E-08,+5.074561E-11
27,-1.15,+3.670689E-08,+5.080975E-11
28,-1.1,+4.128636E-08,+2.877471E-11
29,-1.05,+4.601778E-08,+3.552556E-11
30,-1,+5.137471E-08,+4.001860E-11
31,-0.95,+5.680011E-08,+5.776027E-11
32,-0.9,+6.261551E-08,+4.496794E-11
33,-0.85,+6.894241E-08,+8.079028E-11
34,-0.8,+7.483573E-08,+1.849972E-10
35,-0.75,+8.157949E-08,+9.888895E-11
36,-0.7,+8.825249E-08,+1.065902E-10
37,-0.65,+9.501748E-08,+2.553018E-09
38,-0.6,+1.024424E-07,+9.011156E-11
39,-0.55,+1.102400E-07,+2.188233E-10
40,-0.5,+1.180733E-07,+3.689308E-10
41,-0.45,+1.271551E-07,+4.908484E-11
42,-0.4,+1.361051E-07,+1.682540E-10
43,-0.35,+1.458588E-07,+4.072667E-10
44,-0.3,+1.548978E-07,+1.731116E-10
45,-0.25,+1.647148E-07,+2.518844E-10
46,-0.2,+1.720808E-07,+5.447835E-09
47,-0.15,+1.836266E-07,+1.907305E-10
48,-0.1,+1.946101E-07,+3.067391E-10
49,-0.05,+2.059940E-07,+4.824503E-10
50,0,+2.059311E-07,+1.345771E-09
51,0.05,+2.268821E-07,+2.680729E-10
52,0.1,+2.385109E-07,+2.718857E-10
53,0.15,+2.504739E-07,+2.855277E-10
54,0.2,+2.618600E-07,+3.464388E-10
55,0.25,+2.746777E-07,+2.961387E-10
56,0.3,+2.868809E-07,+3.610841E-10
57,0.35,+2.995639E-07,+3.518975E-10
58,0.4,+3.126635E-07,+4.106524E-10
59,0.45,+3.253174E-07,+2.912824E-10
60,0.5,+3.390000E-07,+3.582993E-10
61,0.55,+3.504146E-07,+2.751567E-10
62,0.6,+3.649107E-07,+3.190901E-10
63,0.65,+3.777405E-07,+5.001349E-10
64,0.7,+3.920590E-07,+3.652971E-10
65,0.75,+4.048788E-07,+3.027221E-10
66,0.8,+4.195902E-07,+3.041634E-10
67,0.85,+4.324448E-07,+2.242970E-09
68,0.9,+4.435983E-07,+3.740562E-10
69,0.95,+4.577784E-07,+3.985807E-10
70,1,+4.723422E-07,+3.773921E-10
71,1.05,+4.917100E-07,+6.204068E-10
72,1.1,+5.075617E-07,+1.674234E-10
73,1.15,+5.228567E-07,+2.331854E-10
74,1.2,+5.380289E-07,+3.411977E-10
75,1.25,+5.533632E-07,+7.038876E-10
76,1.3,+5.695422E-07,+8.012029E-10
77,1.35,+5.817707E-07,+3.986667E-09
78,1.4,+6.032372E-07,+3.501494E-09
79,1.45,+6.189645E-07,+1.705450E-09
80,1.5,+6.372388E-07,+2.644239E-09
81,1.55,+6.530335E-07,+2.275964E-09
82,1.6,+6.671175E-07,+1.200790E-09
83,1.65,+6.855195E-07,+1.575967E-09
84,1.7,+7.029420E-07,+1.369695E-09
85,1.75,+7.211412E-07,+1.381616E-09
86,1.8,+7.377764E-07,+1.323803E-09
87,1.85,+7.555658E-07,+1.254768E-09
88,1.9,+7.718905E-07,+1.256721E-09
89,1.95,+7.898237E-07,+1.291815E-09
90,2,+8.078056E-07,+1.306555E-09
91,2.05,+8.248635E-07,+1.684267E-09
92,2.1,+8.453316E-07,+1.364790E-09
93,2.15,+8.585875E-07,+4.236631E-09
94,2.2,+8.820290E-07,+4.294779E-09
95,2.25,+8.970859E-07,+5.066059E-09
96,2.3,+9.139214E-07,+3.580563E-09
97,2.35,+9.351999E-07,+1.311843E-09
98,2.4,+9.584379E-07,+3.185547E-09
99,2.45,+9.779675E-07,+4.173182E-09
