,Voltage,Current (Mean),Current (Std)
0,-2.5,-3.903971E-10,+2.058971E-13
1,-2.45,-3.903277E-10,+6.994383E-13
2,-2.4,-3.885111E-10,+4.155755E-13
3,-2.35,-3.891192E-10,+4.834107E-13
4,-2.3,-3.893304E-10,+2.673119E-13
5,-2.25,-4.129619E-10,+3.001973E-13
6,-2.2,-4.112101E-10,+3.308693E-13
7,-2.15,-4.105402E-10,+2.770071E-13
8,-2.1,-4.084433E-10,+3.022948E-13
9,-2.05,-4.086256E-10,+3.357430E-13
10,-2,-4.080490E-10,+3.051491E-13
11,-1.95,-4.069807E-10,+4.076644E-13
12,-1.9,-4.063809E-10,+5.687465E-13
13,-1.85,-4.066097E-10,+5.802899E-13
14,-1.8,-4.053766E-10,+6.364208E-13
15,-1.75,-4.044084E-10,+2.995496E-13
16,-1.7,-4.027019E-10,+3.467068E-13
17,-1.65,-4.024512E-10,+5.325570E-13
18,-1.6,-4.014490E-10,+4.981225E-13
19,-1.55,-4.010086E-10,+4.656552E-13
20,-1.5,-3.991568E-10,+9.601900E-13
21,-1.45,-3.744820E-10,+9.429951E-13
22,-1.4,-3.729886E-10,+5.144594E-13
23,-1.35,-3.722576E-10,+7.464735E-13
24,-1.3,-3.680538E-10,+4.065975E-13
25,-1.25,-3.635146E-10,+2.884081E-13
26,-1.2,-3.587753E-10,+6.158876E-13
27,-1.15,-3.522360E-10,+6.817460E-13
28,-1.1,-3.379164E-10,+6.260709E-13
29,-1.05,-3.331428E-10,+4.398856E-13
30,-1,-2.576647E-10,+5.772170E-13
31,-0.95,-4.755592E-11,+4.649880E-13
32,-0.9,+4.491155E-10,+1.426925E-12
33,-0.85,+1.319489E-09,+4.137484E-12
34,-0.8,+2.586839E-09,+4.581912E-12
35,-0.75,+4.370010E-09,+8.416694E-12
36,-0.7,+6.777230E-09,+2.647829E-12
37,-0.65,+9.969808E-09,+4.375217E-12
38,-0.6,+1.393615E-08,+3.358456E-11
39,-0.55,+1.858210E-08,+6.404342E-11
40,-0.5,+2.384647E-08,+2.473735E-11
41,-0.45,+2.989952E-08,+1.947210E-11
42,-0.4,+3.675761E-08,+2.751021E-11
43,-0.35,+4.428949E-08,+1.075841E-10
44,-0.3,+5.226675E-08,+4.445223E-11
45,-0.25,+6.112665E-08,+1.501575E-10
46,-0.2,+7.086295E-08,+7.291154E-11
47,-0.15,+8.109681E-08,+3.328249E-10
48,-0.1,+9.205444E-08,+2.011797E-10
49,-0.05,+1.024597E-07,+1.196306E-10
50,0,+1.143611E-07,+8.857414E-10
51,0.050000000000000266,+1.266540E-07,+3.630923E-10
52,0.10000000000000009,+1.396998E-07,+2.052908E-10
53,0.15000000000000036,+1.544197E-07,+1.154678E-09
54,0.20000000000000018,+1.679822E-07,+3.577730E-10
55,0.25,+1.819389E-07,+1.186441E-10
56,0.30000000000000027,+1.971562E-07,+6.132800E-10
57,0.3500000000000001,+2.122211E-07,+2.187574E-10
58,0.40000000000000036,+2.291419E-07,+2.250403E-10
59,0.4500000000000002,+2.450767E-07,+3.036923E-10
60,0.5,+2.650565E-07,+1.534357E-10
61,0.5500000000000003,+2.816867E-07,+2.575503E-10
62,0.6000000000000001,+2.992327E-07,+2.806501E-10
63,0.6500000000000004,+3.181499E-07,+2.982273E-10
64,0.7000000000000002,+3.384652E-07,+2.450459E-10
65,0.75,+3.569929E-07,+3.355429E-10
66,0.8000000000000003,+3.761749E-07,+4.338406E-10
67,0.8500000000000001,+3.944531E-07,+3.759656E-10
68,0.9000000000000004,+4.140616E-07,+2.987003E-10
69,0.9500000000000002,+4.334971E-07,+5.990343E-10
70,1,+4.521047E-07,+8.117484E-10
71,1.0500000000000003,+4.722727E-07,+9.617629E-10
72,1.1,+4.938947E-07,+3.857883E-10
73,1.1500000000000004,+5.135382E-07,+3.372079E-10
74,1.2000000000000002,+5.334537E-07,+9.978134E-10
75,1.25,+5.510319E-07,+8.464529E-10
76,1.3000000000000003,+5.700492E-07,+9.951021E-10
77,1.35,+5.909781E-07,+3.919328E-10
78,1.4000000000000004,+6.110889E-07,+2.126257E-09
79,1.4500000000000002,+6.328322E-07,+8.132164E-10
80,1.5,+6.527941E-07,+1.527864E-09
81,1.5499999999999998,+6.755232E-07,+1.832900E-09
82,1.6000000000000005,+6.955244E-07,+4.920179E-10
83,1.6500000000000004,+7.166418E-07,+1.319969E-09
84,1.7000000000000002,+7.372429E-07,+3.079563E-10
85,1.75,+7.581937E-07,+1.412241E-09
86,1.7999999999999998,+7.806987E-07,+6.307529E-10
87,1.8500000000000005,+7.960194E-07,+1.840349E-09
88,1.9000000000000004,+8.192133E-07,+2.331315E-09
89,1.9500000000000002,+8.452161E-07,+2.806366E-09
90,2,+8.604502E-07,+4.392386E-09
91,2.05,+8.793357E-07,+5.427819E-09
92,2.1000000000000005,+9.006982E-07,+2.346552E-09
93,2.1500000000000004,+9.197007E-07,+3.606391E-09
94,2.2,+9.518952E-07,+3.805289E-09
95,2.25,+9.700581E-07,+4.783216E-09
96,2.3000000000000007,+9.935439E-07,+3.154055E-09
97,2.3500000000000005,+1.018099E-06,+2.831078E-09
98,2.4000000000000004,+1.029297E-06,+3.513517E-09
99,2.45,+1.062141E-06,+2.283369E-09
