,Voltage,Current (Mean),Current (Std)
0,-2.5,-9.629662E-14,+2.388254E-14
1,-2.4,-8.449691E-14,+1.578346E-14
2,-2.3,-8.888945E-14,+2.216878E-14
3,-2.2,-8.671309E-14,+1.734352E-14
4,-2.1,-8.266005E-14,+2.291770E-14
5,-2,-6.848471E-14,+2.341964E-14
6,-1.9,-7.569230E-14,+2.594034E-14
7,-1.8,-7.790859E-14,+3.300926E-14
8,-1.7,-7.259742E-14,+1.746059E-14
9,-1.6,-6.299418E-14,+1.814690E-14
10,-1.5,-6.111737E-14,+1.767138E-14
11,-1.4,-4.558471E-14,+1.626709E-14
12,-1.3,-2.811587E-14,+1.472421E-14
13,-1.2,-1.224440E-14,+1.761253E-14
14,-1.1,+1.564545E-14,+2.133987E-14
15,-1,+5.764989E-14,+1.713613E-14
16,-0.9,+7.587704E-14,+2.014504E-14
17,-0.8,+1.133297E-13,+1.542290E-14
18,-0.7,+1.707064E-13,+1.385056E-14
19,-0.6,+2.174022E-13,+1.329330E-14
20,-0.5,+2.829442E-13,+2.973376E-14
21,-0.4,+3.511212E-13,+2.759334E-14
22,-0.3,+4.094960E-13,+6.943668E-14
23,-0.2,+4.934448E-13,+1.691479E-14
24,-0.1,+5.561716E-13,+3.267413E-14
25,0,+6.518591E-13,+2.228668E-14
26,0.1,+7.511202E-13,+2.632119E-14
27,0.2,+8.513196E-13,+2.390402E-14
28,0.3,+9.454498E-13,+1.937444E-14
29,0.4,+1.056729E-12,+2.940626E-14
30,0.5,+1.173978E-12,+1.624651E-14
31,0.6,+1.291745E-12,+1.884987E-14
32,0.7,+1.399132E-12,+2.544443E-14
33,0.8,+1.531314E-12,+3.142700E-14
34,0.9,+1.668785E-12,+2.439729E-14
35,1,+1.847683E-12,+9.825294E-14
36,1.1,+1.935544E-12,+2.639364E-14
37,1.2,+2.072797E-12,+2.272784E-14
38,1.3,+2.211087E-12,+1.484805E-14
39,1.4,+2.398889E-12,+2.665053E-14
40,1.5,+2.543887E-12,+2.137208E-14
41,1.6,+2.694735E-12,+2.230706E-14
42,1.7,+2.863031E-12,+2.455826E-14
43,1.8,+3.004096E-12,+1.888147E-14
44,1.9,+3.144682E-12,+2.571225E-14
45,2,+2.891778E-12,+8.110381E-13
46,2.1,+3.437353E-12,+3.599124E-14
47,2.2,+3.627929E-12,+1.902334E-14
48,2.3,+3.758912E-12,+3.063709E-14
49,2.4,+3.910459E-12,+4.981782E-14
