,Voltage,Current (Mean),Current (Std)
0,-2.5,-6.324018E-11,+5.933766E-14
1,-2.4,-6.297786E-11,+9.116784E-13
2,-2.3,-5.988596E-11,+4.747556E-14
3,-2.2,-6.114322E-11,+1.136308E-12
4,-2.1,-5.778884E-11,+4.711055E-14
5,-2,-5.605562E-11,+7.184233E-14
6,-1.9,-5.705890E-11,+6.531771E-13
7,-1.8,-5.333243E-11,+1.009629E-12
8,-1.7,-4.561266E-11,+1.394600E-12
9,-1.6,-1.527099E-11,+3.999540E-14
10,-1.5,+6.360179E-11,+9.893845E-13
11,-1.4,+2.100556E-10,+1.073431E-13
12,-1.3,+3.989492E-10,+4.338969E-13
13,-1.2,+6.214458E-10,+2.347632E-12
14,-1.1,+8.793246E-10,+6.580865E-13
15,-1,+1.193938E-09,+9.411968E-13
16,-0.9,+1.562494E-09,+1.242927E-12
17,-0.8,+2.026351E-09,+1.429364E-11
18,-0.7,+2.510485E-09,+1.563641E-11
19,-0.6,+3.055288E-09,+2.234156E-12
20,-0.5,+3.701017E-09,+1.481883E-11
21,-0.4,+4.332089E-09,+3.476308E-12
22,-0.3,+5.042787E-09,+4.145097E-12
23,-0.2,+5.889394E-09,+1.278230E-11
24,-0.1,+6.736554E-09,+1.753921E-11
25,0,+7.593543E-09,+1.886109E-11
26,0.1,+8.527137E-09,+4.148231E-11
27,0.2,+9.524467E-09,+6.103655E-11
28,0.3,+1.053498E-08,+6.358734E-11
29,0.4,+1.157941E-08,+1.404022E-11
30,0.5,+1.272471E-08,+1.408751E-11
31,0.6,+1.391028E-08,+1.051671E-11
32,0.7,+1.510765E-08,+9.655538E-12
33,0.8,+1.638247E-08,+9.591457E-12
34,0.9,+1.786831E-08,+8.029969E-11
35,1,+1.919771E-08,+4.177252E-11
36,1.1,+2.060255E-08,+1.255561E-10
37,1.2,+2.189962E-08,+1.175853E-10
38,1.3,+2.332028E-08,+3.445377E-11
39,1.4,+2.457787E-08,+2.633776E-11
40,1.5,+2.634272E-08,+9.435776E-11
41,1.6,+2.754152E-08,+4.016813E-11
42,1.7,+2.908472E-08,+4.169868E-11
43,1.8,+3.051186E-08,+3.842457E-11
44,1.9,+3.247186E-08,+5.626671E-11
45,2,+3.359708E-08,+1.834454E-11
46,2.1,+3.566664E-08,+9.681859E-11
47,2.2,+3.678325E-08,+2.451060E-11
48,2.3,+3.859857E-08,+2.104131E-10
49,2.4,+4.017646E-08,+2.404825E-10
