,Voltage,Current (Mean),Current (Std)
0,-2.5,b'-5.344116E-10\n',b'+5.144069E-13\n'
1,-2.45,b'-5.379234E-10\n',b'+4.054923E-13\n'
2,-2.4,b'-5.335252E-10\n',b'+7.384707E-13\n'
3,-2.35,b'-5.314628E-10\n',b'+4.936806E-13\n'
4,-2.3,b'-5.326218E-10\n',b'+5.190818E-13\n'
5,-2.25,b'-5.321121E-10\n',b'+8.316422E-13\n'
6,-2.2,b'-5.271571E-10\n',b'+6.113871E-13\n'
7,-2.15,b'-5.198003E-10\n',b'+8.724155E-13\n'
8,-2.1,b'-5.133845E-10\n',b'+5.510778E-13\n'
9,-2.05,b'-5.064590E-10\n',b'+5.641585E-13\n'
10,-2.0,b'-4.991897E-10\n',b'+4.708772E-13\n'
11,-1.95,b'-4.900148E-10\n',b'+4.424549E-13\n'
12,-1.9,b'-4.790087E-10\n',b'+5.237538E-13\n'
13,-1.85,b'-4.658967E-10\n',b'+4.262657E-13\n'
14,-1.7999999999999998,b'-4.475880E-10\n',b'+7.983195E-12\n'
15,-1.75,b'-4.284427E-10\n',b'+2.437663E-13\n'
16,-1.7,b'-3.884593E-10\n',b'+2.203841E-13\n'
17,-1.65,b'-3.064111E-10\n',b'+1.927848E-13\n'
18,-1.6,b'-1.481430E-10\n',b'+9.151048E-14\n'
19,-1.5499999999999998,b'+1.263065E-10\n',b'+1.029130E-12\n'
20,-1.5,b'+5.404500E-10\n',b'+1.156185E-12\n'
21,-1.45,b'+1.103378E-09\n',b'+2.407805E-12\n'
22,-1.4,b'+1.776920E-09\n',b'+6.569884E-12\n'
23,-1.3499999999999999,b'+2.545999E-09\n',b'+7.564597E-12\n'
24,-1.2999999999999998,b'+3.355300E-09\n',b'+7.802201E-12\n'
25,-1.25,b'+4.238552E-09\n',b'+1.272176E-11\n'
26,-1.2,b'+5.194399E-09\n',b'+1.122769E-11\n'
27,-1.15,b'+6.255856E-09\n',b'+2.000595E-12\n'
28,-1.0999999999999999,b'+7.430223E-09\n',b'+2.226424E-11\n'
29,-1.0499999999999998,b'+8.738576E-09\n',b'+1.001879E-11\n'
30,-1.0,b'+1.009538E-08\n',b'+8.846976E-12\n'
31,-0.95,b'+1.164315E-08\n',b'+1.711371E-11\n'
32,-0.8999999999999999,b'+1.332357E-08\n',b'+1.646681E-11\n'
33,-0.8499999999999999,b'+1.496640E-08\n',b'+8.834330E-11\n'
