,Voltage,Current (Mean),Current (Std)
0,-2.5,-1.253119E-10,+4.615262E-12
1,-2.45,-1.292902E-10,+1.752547E-12
2,-2.4,-1.294763E-10,+2.215658E-12
3,-2.35,-1.283553E-10,+3.362477E-12
4,-2.3,-1.298631E-10,+6.667774E-13
5,-2.25,-1.295332E-10,+4.466209E-13
6,-2.2,-1.292172E-10,+8.345179E-13
7,-2.15,-1.279592E-10,+3.175453E-12
8,-2.1,-1.292552E-10,+8.502180E-13
9,-2.05,-1.289414E-10,+5.644414E-13
10,-2,-1.264369E-10,+4.158313E-12
11,-1.95,-1.284129E-10,+7.057569E-13
12,-1.9,-1.279386E-10,+6.728154E-13
13,-1.85,-1.270460E-10,+2.268366E-13
14,-1.8,-1.263536E-10,+1.189866E-13
15,-1.75,-1.258659E-10,+1.595683E-13
16,-1.7,-1.261381E-10,+2.085109E-13
17,-1.65,-1.255486E-10,+2.862366E-13
18,-1.6,-1.238342E-10,+3.833096E-12
19,-1.55,-1.244907E-10,+1.120094E-12
20,-1.5,-1.243984E-10,+1.864092E-13
21,-1.45,-1.229641E-10,+1.535309E-13
22,-1.4,-1.222869E-10,+2.344009E-13
23,-1.35,-1.136637E-10,+1.508267E-13
24,-1.3,-1.209767E-10,+1.466892E-13
25,-1.25,-1.215441E-10,+1.564160E-13
26,-1.2,-1.194431E-10,+6.272704E-13
27,-1.15,-1.180606E-10,+3.718765E-13
28,-1.1,-1.102196E-10,+3.715619E-12
29,-1.05,-1.149711E-10,+2.553516E-12
30,-1,-1.108193E-10,+5.895597E-13
31,-0.95,-1.029710E-10,+2.440037E-13
32,-0.9,-8.233483E-11,+2.684608E-12
33,-0.85,-1.919130E-11,+1.648479E-13
34,-0.8,+1.416441E-10,+3.221141E-13
35,-0.75,+4.474071E-10,+1.303111E-12
36,-0.7,+9.342900E-10,+1.359077E-12
37,-0.65,+1.681741E-09,+9.746699E-13
38,-0.6,+2.754050E-09,+3.355633E-12
39,-0.55,+4.270449E-09,+3.811928E-12
40,-0.5,+6.134901E-09,+1.326186E-11
41,-0.45,+8.421616E-09,+1.057199E-11
42,-0.4,+1.087867E-08,+4.233973E-11
43,-0.35,+1.389305E-08,+1.611554E-11
44,-0.3,+1.718858E-08,+1.943402E-11
45,-0.25,+2.086217E-08,+2.411381E-11
46,-0.2,+2.524396E-08,+3.218597E-11
47,-0.15,+2.996152E-08,+1.063970E-10
48,-0.1,+3.488762E-08,+1.063519E-10
49,-0.05,+4.012288E-08,+1.748086E-10
50,0,+4.598810E-08,+1.517110E-10
51,0.05,+5.193128E-08,+7.853874E-11
52,0.1,+5.857954E-08,+8.410272E-11
53,0.15,+6.599734E-08,+1.916291E-10
54,0.2,+7.403934E-08,+3.997993E-10
55,0.25,+8.189897E-08,+1.103245E-10
56,0.3,+9.016660E-08,+1.743521E-10
57,0.35,+9.722754E-08,+2.252431E-10
58,0.4,+1.055249E-07,+1.605491E-10
59,0.45,+1.151360E-07,+6.407749E-10
60,0.5,+1.253475E-07,+2.527360E-10
61,0.55,+1.347095E-07,+2.538131E-10
62,0.6,+1.439225E-07,+2.936260E-10
63,0.65,+1.538727E-07,+3.684408E-10
64,0.7,+1.636951E-07,+2.681851E-10
65,0.75,+1.746690E-07,+3.417183E-10
66,0.8,+1.857679E-07,+3.466575E-10
67,0.85,+1.963498E-07,+3.102791E-10
68,0.9,+2.070435E-07,+3.384972E-10
69,0.95,+2.172574E-07,+3.059918E-10
70,1,+2.280929E-07,+2.104178E-10
71,1.05,+2.391650E-07,+2.351240E-10
72,1.1,+2.493280E-07,+3.473947E-10
73,1.15,+2.601477E-07,+2.381526E-10
74,1.2,+2.719738E-07,+2.036512E-10
75,1.25,+2.825310E-07,+5.613898E-10
76,1.3,+2.942294E-07,+3.630430E-10
77,1.35,+3.057897E-07,+2.669010E-10
78,1.4,+3.161965E-07,+3.038243E-10
79,1.45,+3.278348E-07,+3.221383E-10
80,1.5,+3.396735E-07,+4.909920E-10
81,1.55,+3.502528E-07,+7.794430E-10
82,1.6,+3.613546E-07,+4.329500E-10
83,1.65,+3.701159E-07,+2.363989E-10
84,1.7,+3.842440E-07,+5.791507E-10
85,1.75,+3.946018E-07,+3.320193E-10
86,1.8,+4.070333E-07,+7.308736E-10
87,1.85,+4.184075E-07,+1.329834E-09
88,1.9,+4.293489E-07,+6.614924E-10
89,1.95,+4.408083E-07,+1.065291E-09
90,2,+2.241611E-07,+8.273999E-10
91,2.05,+4.616917E-07,+3.484122E-10
92,2.1,+4.719108E-07,+1.134912E-09
93,2.15,+4.808008E-07,+2.761298E-10
94,2.2,+4.943864E-07,+6.111006E-10
95,2.25,+5.060157E-07,+2.862229E-10
96,2.3,+5.161588E-07,+5.695611E-10
97,2.35,+5.258385E-07,+5.597812E-10
98,2.4,+5.339182E-07,+2.828129E-10
99,2.45,+5.453094E-07,+6.374807E-10
